YTD Total Jan-Nov 2012,ISSN,ID,TITLE
778,1467-6370,3218,International Journal of Sustainability in Higher Education
777,1365-4632,3043,International Journal of Dermatology
776,0301-4622,866,Biophysical Chemistry
774,1040-726X,1931,Educational Psychology Review
774,0924-6460,2042,Environmental and Resource Economics
774,0028-3940,5146,Neuroradiology
774,1097-4679,3579,Journal of Clinical Psychology
773,1072-3714,4861,Menopause
773,1590-1874,5128,"Neurological Sciences (formerly Italian Journal of Neurological Sciences, The)"
772,0147-9563,2638,Heart & Lung: The Journal of Acute and Critical Care
772,1542-4863,18255,CA: a Cancer Journal for Clinicians
772,1475-6765,2193,European Journal of Political Research
771,1936-878X,18765,JACC: Cardiovascular Imaging
771,0003-9519,571,Archive for History of Exact Sciences
770,1467-6419,3693,Journal of Economic Surveys
768,1469-7769,7103,Journal of the Marine Biological Association of the UK
768,0890-8389,933,"British Accounting Review, The"
768,0375-6505,2522,Geothermics
768,0092-7872,10750,Communications in Algebra
767,0093-6413,4822,Mechanics Research Communications
767,0171-967X,1021,Calcified Tissue International
767,0928-0707,4320,Journal of Sol-Gel Science and Technology
767,1097-0177,1744,"Developmental Dynamics (formerly American Journal of Anatomy, The)"
766,0890-8044,10046,IEEE Network
766,1465-3435,2142,European Journal of Education
765,1471-4922,6697,Trends in Parasitology (formerly known as Parasitology Today)
764,0301-472X,2273,Experimental Hematology
763,0094-1190,4453,Journal of Urban Economics
762,0167-6857,5605,"Plant Cell, Tissue and Organ Culture"
761,1445-2197,483,ANZ Journal of Surgery
760,1477-870X,13590,Quarterly Journal of the Royal Meteorological Society
759,0166-3542,480,Antiviral Research
759,0304-3770,552,Aquatic Botany
759,0049-089X,6292,Social Science Research
759,1049-4820,11098,Interactive Learning Environments
758,1096-8644,314,American Journal of Physical Anthropology
758,1098-2353,1251,Clinical Anatomy
757,0188-4409,588,Archives of Medical Research
757,0018-506X,2715,Hormones and Behavior
757,0927-796X,4773,Materials Science and Engineering: R: Reports (formerly part of Materials Science Reports)
757,0363-9762,1281,Clinical Nuclear Medicine
757,0937-4477,2107,European Archives of Oto-Rhino-Laryngology
754,1365-8816,3079,International Journal of Geographical Information Science (formerly International Journal of Geographical Information Systems)
754,1399-5618,884,Bipolar Disorders
753,1365-2427,2429,Freshwater Biology
752,1053-4296,9297,Seminars in Radiation Oncology
751,1469-8153,7140,Organised Sound
750,1293-2558,6337,Solid State Sciences (formerly known as European Journal of Solid State and Inorganic Chemistry) (incorporating International Journal of Inorganic Materials)
750,1871-1871,20406,Thinking Skills and Creativity
750,1460-2393,5837,QJM: an International Journal of Medicine
750,0003-2719,10540,Analytical Letters
748,1097-0347,2610,Head & Neck
747,1083-4419,10130,"IEEE Transactions on Systems, Man and Cybernetics, Part B"
746,1364-6826,3474,Journal of Atmospheric and Solar-Terrestrial Physics (formerly known as Journal of Atmospheric and Terrestrial Physics)
746,1526-0542,5402,Paediatric Respiratory Reviews
746,0939-1533,574,Archive of Applied Mechanics (Ingenieur Archiv)
745,0723-4864,2281,Experiments in Fluids
745,1600-0404,111,Acta Neurologica Scandinavica
745,1745-6584,11018,Ground Water
743,0304-3991,6717,Ultramicroscopy
743,1540-7977,10050,IEEE Power & Energy Magazine
743,1539-6924,6058,Risk Analysis
742,0301-7516,3139,International Journal of Mineral Processing
742,1526-5900,4128,"Journal of Pain, The"
742,1529-8817,4165,Journal of Phycology
740,0197-3975,2593,Habitat International
740,1059-1311,6183,Seizure
739,0887-2171,9299,"Seminars in Ultrasound, CT & MRI"
739,1745-8315,18980,"International Journal of Psychoanalysis, The"
738,0940-6719,2237,European Spine Journal
737,1060-3743,4292,Journal of Second Language Writing
737,1120-1797,19927,Physica Medica
737,1381-5148,5904,Reactive and Functional Polymers (formerly known as Reactive Polymers)
737,1439-0418,3440,Journal of Applied Entomology
736,0966-9795,2944,Intermetallics
736,0920-5691,3033,International Journal of Computer Vision
735,0741-3106,10025,IEEE Electron Device Letters
735,0018-9316,10067,IEEE Transactions on Broadcasting
734,0019-1035,2782,Icarus
734,0925-4773,4825,Mechanisms of Development (formerly known as Cell Differentiation and Development)
734,0304-3975,6591,Theoretical Computer Science
733,0021-8928,3444,Journal of Applied Mathematics and Mechanics
733,1540-7489,11683,Proceedings of the Combustion Institute (formerly Symposium (International) on Combustion)
733,1540-5885,4210,Journal of Product Innovation Management
733,1467-9817,4265,Journal of Research in Reading
733,1949-8594,20206,School Science and Mathematics
732,0144-8609,546,Aquacultural Engineering
732,0894-9115,315,American Journal of Physical Medicine & Rehabilitation (formerly American Journal of Physical Medicine)
732,1746-1561,11380,Journal of School Health
731,1472-0701,1554,Corporate Governance: International Journal of Business in Society
731,1522-2594,4696,Magnetic Resonance in Medicine
730,0031-6970,2136,European Journal of Clinical Pharmacology
729,0167-6911,6502,Systems & Control Letters
728,0920-5489,1461,Computer Standards & Interfaces (incorporating Computers and Standards and Interfaces in Computing)
728,0278-0070,10078,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems
728,1434-6028,2222,"European Physical Journal B (EPJ B), The (formerly Zeitschrift fur Physik B Condensed Matter)"
726,0948-3349,11134,"International Journal of Life Cycle Assessment, The"
726,0277-2248,6638,Toxicological & Environmental Chemistry
726,1365-263X,3153,International Journal of Paediatric Dentistry
725,0378-8733,6280,Social Networks
724,0048-3486,5486,Personnel Review
724,0020-7128,3011,International Journal of Biometeorology
723,0167-594X,4080,Journal of Neuro-Oncology
723,1099-1166,3080,International Journal of Geriatric Psychiatry
722,0001-2092,18601,AORN Journal
721,1043-951X,1202,China Economic Review
721,0147-5967,3599,Journal of Comparative Economics
721,0307-4358,4717,Managerial Finance
721,1467-6494,4150,Journal of Personality
721,1469-7998,11423,Journal of Zoology
720,0344-0338,9267,Pathology - Research and Practice
718,1098-3015,18895,Value in Health
718,1540-7993,10054,IEEE Security & Privacy Magazine
716,1552-4981,3506,Journal of Biomedical Materials Research Part B: Applied Biomaterials
715,1361-6439,4026,Journal of Micromechanics and Microengineering
715,0923-2958,1102,Celestial Mechanics and Dynamical Astronomy
715,1862-6319,5543,Physica status solidi (a)
714,0923-2508,5974,Research in Microbiology (formerly known as Annales de l'Institut Pasteur. Microbiologie)
714,0267-1379,1643,Current Opinion in Gastroenterology
713,0895-7967,20252,Seminars in Vascular Surgery
712,1469-5812,1927,Educational Philosophy and Theory
710,1079-9796,895,"Blood Cells, Molecules, and Diseases"
710,0260-1370,3124,International Journal of Lifelong Education
706,0954-349X,6417,Structural Change and Economic Dynamics
705,0022-2011,3927,Journal of Invertebrate Pathology
705,1383-5742,5049,Mutation Research/Reviews in Mutation Research (formerly known as Mutation Research/Reviews in Genetic Toxicology)
702,1399-0004,1267,Clinical Genetics
701,1568-7864,1800,DNA Repair (formerly known as Mutation Research/DNA Repair)
700,1878-8750,2337,World Neurosurgery (formerly Surgical Neurology)
700,0003-2999,374,Anesthesia & Analgesia (formerly Current Researches in Anesthesia & Analgesia)
700,1360-2357,1911,Education and Information Technologies
700,0721-832X,2568,Graefe's Archive for Clinical and Experimental Ophthalmology
699,1467-9507,6269,Social Development
698,0734-743X,3101,International Journal of Impact Engineering
697,1467-9299,5803,Public Administration
695,0167-6393,6374,Speech Communication
695,0147-5916,1329,Cognitive Therapy and Research
694,0262-1711,3971,Journal of Management Development
693,0166-8641,6631,Topology and its Applications (formerly known as General Topology and its Applications)
692,0007-4497,978,Bulletin des Sciences Mathematiques (formerly known as Bulletin des Sciences Mathematiques et Astronomiques)
692,0268-7038,487,Aphasiology
691,1369-8478,6681,Transportation Research Part F: Traffic Psychology and Behaviour
690,1752-1807,18619,European Early Childhood Education Research Journal
689,1536-1268,10048,IEEE Pervasive Computing
689,1834-7819,18146,Australian Dental Journal
688,1053-2498,3842,"Journal of Heart and Lung Transplantation, The"
688,0022-3239,4109,Journal of Optimization Theory and Applications
687,0021-9975,3603,Journal of Comparative Pathology
687,1540-5915,1705,Decision Sciences
686,1385-1101,4291,Journal of Sea Research (formerly known as Netherlands Journal of Sea Research)
686,1468-0084,5382,Oxford Bulletin of Economics & Statistics
685,1469-1930,3895,Journal of Intellectual Capital
685,1064-3389,10790,Critical Reviews in Environmental Science and Technology
685,1099-0496,5461,Pediatric Pulmonology
685,1467-9248,5658,Political Studies
684,0163-7827,5734,Progress in Lipid Research (formerly known as Progress in the Chemistry of Fats and other Lipids)
684,0278-6826,181,Aerosol Science & Technology
683,1050-642X,1273,Clinical Journal of Sport Medicine
683,0035-4511,6053,Rheologica Acta
682,0278-0062,10105,IEEE Transactions on Medical Imaging
682,0195-928X,3228,International Journal of Thermophysics
681,0364-2348,6251,Skeletal Radiology
680,1863-9690,20517,ZDM
679,1048-891X,18948,International Journal of Gynecological Cancer
679,0033-3123,11696,Psychometrika
678,1934-1482,18872,PM&R
678,0020-739X,3133,International Journal of Mathematical Education in Science & Technology
677,0923-1811,3664,Journal of Dermatological Science
677,0920-4105,4152,Journal of Petroleum Science and Engineering
677,0306-8293,3208,International Journal of Social Economics
677,1062-4821,1650,Current Opinion in Nephrology and Hypertension
677,1939-1846,10181,Journal of Abnormal Psychology
677,0378-2697,5617,Plant Systematics and Evolution
677,1540-6520,2034,Entrepreneurship Theory and Practice
676,1871-6784,14867,New Biotechnology (formerly known as Biomolecular Engineering)
676,1399-3038,5448,Pediatric Allergy & Immunology
675,0170-0839,5666,Polymer Bulletin
674,1465-3648,2620,Health Education Research
674,1751-553X,1249,International Journal of Laboratory Hematology (formerly Clinical & Laboratory Haematology)
672,1542-3565,18623,Clinical Gastroenterology and Hepatology
672,0163-4984,18192,Biological Trace Element Research
672,0946-2716,4043,Journal of Molecular Medicine
672,1535-3966,1555,Corporate Social Responsibility and Environmental Management (formerly Eco-Management and Auditing)
671,0951-8339,4745,Marine Structures
671,0025-7974,4849,Medicine
671,0936-8051,592,Archives of Orthopaedic and Trauma Surgery
669,1600-6143,10529,American Journal of Transplantation
668,0920-3796,2441,Fusion Engineering and Design (formerly known as Nuclear Engineering and Design. Fusion)
667,1367-9120,3470,Journal of Asian Earth Sciences (formerly known as Journal of Southeast Asian Earth Sciences)
666,1361-8415,4842,Medical Image Analysis
666,1078-1439,6746,Urologic Oncology: Seminars and Original Investigations
666,0020-7179,3038,International Journal of Control (previously published as Journal of Electronics and Control)
665,1569-9048,5992,Respiratory Physiology & Neurobiology (formerly known as Respiration Physiology)
665,0146-0005,20249,Seminars in Perinatology
665,1431-2174,2764,Hydrogeology Journal
665,1468-2346,2947,International Affairs
664,0001-8708,169,Advances in Mathematics
662,1541-1672,10031,IEEE Intelligent Systems (formerly IEEE Intelligent Systems and Their Applications)
662,0169-3913,6670,Transport in Porous Media
662,1467-9922,4551,Language Learning
661,0155-9982,9126,Accounting Forum
661,1468-1218,5215,Nonlinear Analysis: Real World Applications
661,1755-7399,18886,InnovAiT
660,0141-1187,530,Applied Ocean Research
660,0140-0118,19693,Medical and Biological Engineering and Computing
659,1469-1817,6959,Applied Psycholinguistics
658,1654-1103,19568,Journal of Vegetation Science
657,2210-271X,18404,Computational and Theoretical Chemistry (formerly Journal of Molecular Structure: THEOCHEM)
657,1569-1993,3660,Journal of Cystic Fibrosis
657,0165-0378,4261,Journal of Reproductive Immunology
656,1499-4046,19406,Journal of Nutrition Education and Behavior (formerly Journal of Nutrition Education)
656,1096-7176,4871,Metabolic Engineering
656,0079-6107,5731,Progress in Biophysics and Molecular Biology
656,1386-4416,4006,Journal of Mathematics Teacher Education
656,1521-3900,4690,Macromolecular Symposia
655,1532-2114,18624,European Heart Journal - Cardiovascular Imaging (formerly European Journal of Echocardiography)
655,0304-8608,600,Archives of Virology
654,1743-9884,2324,"Learning, Media & Technology (formerly Journal of Educational Media) (incorporating Education, Communication & Information)"
653,0271-6798,4140,Journal of Pediatric Orthopaedics
652,0939-5555,419,Annals of Hematology
652,0006-3134,832,Biologia Plantarum
652,1467-8330,478,Antipode
650,0165-2478,2819,Immunology Letters
650,1355-0306,20207,Science & Justice
650,0306-7319,3062,International Journal of Environmental Analytical Chemistry
650,1363-2434,6146,School Leadership & Management
650,1540-8167,3529,Journal of Cardiovascular Electrophysiology
649,1741-0398,7414,Journal of Enterprise Information Management (formerly Logistics Information Management)
649,1524-1602,441,Strength & Conditioning Journal
648,1434-8411,9132,AEU - International Journal of Electronics and Communications
648,1631-0691,1414,Comptes Rendus Biologies (formerly known as Comptes Rendus de l'Academie des Sciences Series III Sciences de la Vie)
647,0928-7655,5987,Resource and Energy Economics (formerly known as Resources and Energy)
647,1939-1471,10362,Psychological Review
647,1097-0193,2733,Human Brain Mapping
646,1044-7431,4971,Molecular and Cellular Neuroscience
646,0179-0358,5465,Pediatric Surgery International
645,1520-8516,4274,Journal of Rheology (SOR)
645,0145-305X,1741,Developmental & Comparative Immunology
645,0889-4906,2023,"English for Specific Purposes (formerly known as ESP Journal, The)"
645,0951-3574,16,"Accounting, Auditing & Accountability Journal"
645,0137-5881,17948,Acta Physiologiae Plantarum
645,1001-6538,18332,Chinese Science Bulletin
645,1479-1838,11241,Journal of Consumer Behaviour
644,0929-693X,576,Archives de Pediatrie
644,1552-3098,10123,IEEE Transactions on Robotics (formerly IEEE Transactions on Robotics and Automation)
644,1531-4804,13264,International Security
643,0167-7322,4042,Journal of Molecular Liquids (formerly known as Advances in Molecular Relaxation and Interaction Processes)
642,0930-1038,6474,Surgical and Radiologic Anatomy
641,0304-4149,6400,Stochastic Processes and their Applications
640,0973-0826,18577,Energy for Sustainable Development
639,1047-3203,4468,Journal of Visual Communication and Image Representation
638,1226-086X,19308,Journal of Industrial and Engineering Chemistry
637,0020-4277,2913,Instructional Science
637,0941-1291,6473,Surgery Today
637,1464-0597,535,Applied Psychology
637,1521-186X,823,Bioelectromagnetics
636,0160-791X,6544,Technology in Society
636,0143-7720,3129,International Journal of Manpower
635,0899-8256,2451,Games and Economic Behavior
635,1572-3089,9229,Journal of Financial Stability
635,1365-2125,940,British Journal of Clinical Pharmacology
634,0149-6395,11773,Separation Science and Technology
634,1365-2656,3430,Journal of Animal Ecology
633,0003-6072,481,Antonie van Leeuwenhoek
632,0960-7404,6478,Surgical Oncology
632,0095-8972,3639,Journal of Coordination Chemistry
631,1532-6934,18433,Creativity Research Journal
630,1090-3798,2178,European Journal of Paediatric Neurology
630,0956-4233,3205,International Journal of Service Industry Management
630,1087-8572,6410,"Strategy and Leadership (incorporating Antidote, The)"
630,1098-2329,172,Advances in Polymer Technology
629,1740-1445,9146,Body Image
629,0367-2530,9207,"Flora - Morphology, Distribution, Functional Ecology of Plants"
628,1090-7807,3961,"Journal of Magnetic Resonance (incorporating Journal of Magnetic Resonance, Series A and Journal of Magnetic Resonance, Series B)"
627,0960-8966,5132,Neuromuscular Disorders
627,1074-7931,5129,"Neurologist, The"
627,1464-3596,2158,European Journal of International Law
626,8755-4615,1480,Computers and Composition
626,1049-0078,3471,Journal of Asian Economics
626,0363-8715,3616,Journal of Computer Assisted Tomography
625,0091-0562,285,American Journal of Community Psychology
625,0301-1623,3291,International Urology and Nephrology (incorporating Geriatric Nephrology and Urology)
625,0171-5216,3524,Journal of Cancer Research and Clinical Oncology
625,1600-0609,2148,European Journal of Haematology
624,0268-960X,899,Blood Reviews
624,1548-0569,7513,Polymer Composites
622,1465-735X,4142,Journal of Pediatric Psychology
622,1096-9071,4012,Journal of Medical Virology
621,0269-9931,1319,Cognition & Emotion
621,0308-5147,1900,Economy and Society
620,1083-3188,4134,Journal of Pediatric and Adolescent Gynecology
620,0168-8162,2262,Experimental and Applied Acarology
620,1365-2745,3681,Journal of Ecology
619,1436-6207,2170,European Journal of Nutrition (formerly Zeitschrift fur Ernahrungswissenschaft)
619,1741-5446,10870,Educational Theory
618,1089-7674,5574,Physics of Plasmas (AIP) (formerly Physics of Fluids B)
618,0828-282X,18605,Canadian Journal of Cardiology
618,0368-2048,3719,Journal of Electron Spectroscopy and Related Phenomena
618,0001-6322,112,Acta Neuropathologica
618,1365-2761,3792,Journal of Fish Diseases
617,0952-6862,3086,International Journal of Health Care Quality Assurance
616,0747-7171,4366,Journal of Symbolic Computation
616,0001-6268,110,Acta Neurochirurgica
616,0364-3190,5121,Neurochemical Research
614,0014-4894,2278,Experimental Parasitology
614,0091-6331,2259,Exercise and Sport Sciences Reviews
613,1382-6689,2068,Environmental Toxicology and Pharmacology (formerly known as European Journal of Pharmacology: Environmental Toxicology and Pharmacology)
613,1077-4114,4137,Journal of Pediatric Hematology/Oncology (formerly American Journal of Pediatric Hematology/Oncology)
613,1382-4147,2641,Heart Failure Reviews
613,1472-4642,1798,Diversity and Distributions
612,0266-6138,4918,Midwifery
612,0749-5161,5454,Pediatric Emergency Care
612,0570-1864,435,"Annals of Regional Science, The"
611,0047-2352,3648,Journal of Criminal Justice
611,0736-0258,3573,Journal of Clinical Neurophysiology
611,0148-5598,4011,Journal of Medical Systems
611,1470-6431,3036,International Journal of Consumer Studies (formerly Journal of Consumer Studies and Home Economics)
609,1469-7661,7100,Journal of the International Neuropsychological Society
609,1526-4610,2611,Headache: The Journal of Head and Face Pain
607,0168-0102,5152,Neuroscience Research (incorporating Neuroscience Research Supplements)
607,1063-6536,10081,IEEE Transactions on Control Systems Technology
606,0256-7040,1192,Child' s Nervous System
605,1878-0296,19991,Procedia Environmental Sciences
604,0009-3122,1172,Chemistry of Heterocyclic Compounds
604,1022-5528,6626,Topics in Catalysis
604,1932-8737,18351,Clinical Cardiology
604,1748-8583,11050,Human Resource Management Journal
604,1610-1642,5545,Physica status solidi (c)
603,1525-7770,11579,"Nucleosides, Nucleotides and Nucleic Acids"
602,0039-6338,11845,Survival
602,1354-0602,6518,Teachers and Teaching: Theory and Practice
600,1741-203X,11158,International Psychogeriatrics
600,0258-0543,6405,Strategic Direction
600,0141-9870,2096,Ethnic and Racial Studies
599,0376-0421,5730,Progress in Aerospace Sciences
599,1936-8631,19296,Journal of Hospitality Marketing & Management
599,1522-1970,3229,International Journal of Tourism Research (formerly Progress in Tourism and Hospitality Research)
598,1540-6210,5805,Public Administration Review
597,1566-0141,1986,Emerging Markets Review
597,0143-5124,4621,Library Management (incorporating Librarian Career Development)
596,0166-6851,4968,Molecular and Biochemical Parasitology
596,1438-387X,2650,Helgoland Marine Research
596,1098-2337,205,Aggressive Behavior
596,1939-0025,18012,American Journal of Orthopsychiatry
596,1440-1754,4126,Journal of Paediatrics and Child Health
595,1748-5460,19340,Journal of Laryngology & Otology
595,0275-5319,9289,Research in International Business and Finance
594,0963-0643,1667,Current Opinion in Urology
594,1468-036X,2120,European Financial Management
593,1080-2371,9374,CONTINUUM: Lifelong Learning in Neurology
593,1600-0528,1383,Community Dentistry and Oral Epidemiology
592,1438-8677,19944,Plant Biology
591,0092-8240,18240,Bulletin of Mathematical Biology
590,1477-9552,11204,Journal of Agricultural Economics
590,1467-6427,3776,Journal of Family Therapy
590,1099-1638,5844,Quality and Reliability Engineering International
590,1533-8525,11798,"Sociological Quarterly, The"
589,1741-0401,7391,International Journal of Productivity and Performance Management (previously published as Work Study)
589,1468-4527,5320,Online Information Review
589,0930-7575,1241,Climate Dynamics
589,1612-1880,10697,Chemistry & Biodiversity
588,1435-9529,981,Bulletin of Engineering Geology and the Environment
588,0029-599X,5268,Numerische Mathematik
588,1462-5822,1115,Cellular Microbiology
588,1708-8240,19236,Journal of Esthetic and Restorative Dentistry
586,0010-0285,1326,Cognitive Psychology
586,1747-938X,18562,Educational Research Review
586,0740-5472,4355,Journal of Substance Abuse Treatment
586,0013-1911,1935,Educational Review
586,0022-2933,4064,Journal of Natural History (formerly Annals & Magazine of Natural History)
585,1441-3582,18604,Australasian Marketing Journal (AMJ)
585,0275-6668,19129,Journal of Business Strategy
585,0010-7999,1536,Contributions to Mineralogy and Petrology
585,1615-5289,6726,Universal Access in the Information Society
584,0141-9331,4904,Microprocessors and Microsystems (formerly known as Microprocessors)
584,0740-817X,2803,IIE Transactions
583,1359-0286,1665,Current Opinion in Solid State & Materials Science
583,0343-8651,1631,Current Microbiology
583,0020-174X,2907,Inquiry
582,0030-4026,9264,Optik - International Journal for Light and Electron Optics
582,1744-7348,10548,Annals of Applied Biology
581,0891-5245,4136,Journal of Pediatric Health Care
581,1468-2435,3248,International Migration
580,0252-9602,17943,Acta Mathematica Scientia
580,0196-0709,312,American Journal of Otolaryngology
580,1460-1060,2155,European Journal of Innovation Management
580,0885-3177,5410,Pancreas
580,0025-5831,4798,Mathematische Annalen
580,1423-0410,6801,Vox Sanguinis
579,1077-7229,18369,Cognitive and Behavioral Practice
577,0033-5894,5865,Quaternary Research
577,0192-6187,295,American Journal of Family Therapy
577,1467-954X,6306,"Sociological Review, The"
576,0167-8396,1441,Computer Aided Geometric Design
576,0030-9230,5399,Paedagogica Historica
576,1468-0289,1877,Economic History Review
575,1530-437X,10055,IEEE Sensors Journal
574,1365-2230,1247,Clinical & Experimental Dermatology
574,1600-0722,2174,European Journal of Oral Sciences
573,1754-2731,14091,"TQM Journal, The (formerly TQM Magazine, The)"
573,0265-203X,2386,Food Additives & Contaminants
573,1365-2389,2204,European Journal of Soil Science
572,1755-5817,18340,CIRP Journal of Manufacturing Science and Technology
572,1355-008X,18573,Endocrine
571,0957-4093,18957,"International Journal of Logistics Management, The"
571,1460-2229,2292,Family Practice
570,0942-8925,4,Abdominal Imaging
570,1034-912x,3046,"International Journal of Disability, Development & Education"
569,0924-090X,5217,Nonlinear Dynamics
568,1437-3254,3051,International Journal of Earth Sciences (formerly Geologische Rundschau)
568,1600-0897,324,American Journal of Reproductive Immunology
568,1525-139X,6195,Seminars in Dialysis
567,0894-1130,19283,Journal of Hand Therapy
567,1556-6935,18531,Early Education & Development
566,0952-8180,3562,Journal of Clinical Anesthesia
566,1042-444X,4057,Journal of Multinational Financial Management
566,1935-3812,20362,Swarm Intelligence
565,1531-7129,5378,Otology & Neurotology (formerly The American Journal of Otology)
565,1073-2322,11780,Shock
565,1477-4054,18222,Briefings in Bioinformatics
565,1099-1387,4147,Journal of Peptide Science
564,0957-4158,4826,Mechatronics
564,0033-183X,5769,Protoplasma
564,1467-9892,4441,Journal of Time Series Analysis
564,1096-3642,6939,Zoological Journal of the Linnean Society
563,0962-6298,5653,Political Geography (formerly known as Political Geography Quarterly)
563,0040-5809,6596,Theoretical Population Biology
563,0144-929X,769,Behaviour & Information Technology
562,0266-1144,2521,Geotextiles and Geomembranes
562,0925-4927,5777,Psychiatry Research: Neuroimaging
562,0956-5221,6125,Scandinavian Journal of Management (formerly known as Scandinavian Journal of Management Studies)
562,0302-8933,589,Archives of Microbiology
562,1365-2095,549,Aquaculture Nutrition
561,1534-5807,2798,Developmental Cell
561,0024-3841,4636,Lingua
561,0361-5235,19226,Journal of Electronic Materials
560,1056-8727,3670,Journal of Diabetes and its Complications (formerly known as Journal of Diabetic Complications)
560,1432-6981,1287,Clinical Oral Investigations
559,0010-7824,1535,Contraception
559,1380-3395,11230,Journal of Clinical and Experimental Neuropsychology
558,1556-6013,10098,IEEE Transactions on Information Forensics and Security
558,1524-4725,1724,Dermatologic Surgery
557,1468-2834,200,Age & Ageing
557,1571-0068,3202,International Journal of Science and Mathematics Education
556,1092-9134,414,Annals of Diagnostic Pathology
556,0008-8749,1114,Cellular Immunology
556,0160-2446,3530,Journal of Cardiovascular Pharmacology
556,0923-0750,3873,Journal of Inclusion Phenomena and Macrocyclic Chemistry
555,1938-9736,15270,Topics in Companion Animal Medicine (formerly known as Clinical Techniques in Small Animal Practice)
555,0340-5443,766,Behavioral Ecology and Sociobiology
555,0748-1187,1703,Death Studies
554,1754-2138,20475,Welding International
553,1631-0713,1423,Comptes Rendus Geoscience (formerly part of Comptes Rendus de l'Academie des Sciences Series IIA Earth and Planetary Science)
553,1751-1577,19314,Journal of Informetrics
553,1468-2389,3204,International Journal of Selection and Assessment
552,0094-9655,4340,Journal of Statistical Computation & Simulation
551,1530-0277,10507,Alcoholism
550,0967-6120,548,Aquaculture International
550,1387-3547,836,Biological Invasions
550,1469-185X,18191,Biological Reviews
549,0004-3702,636,Artificial Intelligence
549,1075-4253,3918,Journal of International Management
549,1073-8746,9296,Seminars in Orthodontics
549,1545-5955,10065,IEEE Transactions on Automation Science and Engineering (formerly IEEE Transactions on Robotics and Automation)
548,1934-5909,18614,Cell Stem Cell
548,0955-534X,2111,European Business Review
548,1529-7535,5452,Pediatric Critical Care Medicine
547,1386-6141,816,BioControl
547,0393-2990,2145,European Journal of Epidemiology
546,0364-9059,10034,IEEE Journal of Oceanic Engineering
546,1365-3091,6182,Sedimentology
544,0887-0446,5787,Psychology and Health
544,1755-0998,4985,Molecular Ecology Resources (formerly Molecular Ecology Notes)
543,0161-813X,5158,NeuroToxicology
543,1600-0757,5479,Periodontology 2000
542,1750-6182,18934,"International Journal of Culture, Tourism and Hospitality Research"
542,0163-4356,6603,Therapeutic Drug Monitoring
541,0167-0115,5939,Regulatory Peptides
541,0144-3585,3692,Journal of Economic Studies
541,0179-1958,3027,International Journal of Colorectal Disease
541,1477-2833,3041,International Journal of Cultural Policy
540,0167-6245,2870,Information Economics and Policy
540,1617-4909,5481,Personal and Ubiquitous Computing (formerly Personal Technologies)
540,1520-6394,1723,Depression and Anxiety
539,0194-911X,2770,Hypertension
539,0378-1909,2043,Environmental Biology of Fishes
539,0343-2521,2501,GeoJournal
538,1540-8175,1858,Echocardiography
538,1365-3180,6835,Weed Research
537,1050-1738,6686,Trends in Cardiovascular Medicine
537,1359-432X,2214,European Journal of Work & Organizational Psychology
536,0002-0443,3369,Journal of Nursing Administration
536,1615-7591,868,Bioprocess and Biosystems Engineering
536,0957-5243,1051,Cancer Causes & Control
536,0960-3182,2520,Geotechnical and Geological Engineering
536,1072-3374,4004,Journal of Mathematical Sciences (incorporating Nonlinear Oscillations)
536,1468-0386,2216,European Law Journal
535,1521-6926,783,Best Practice & Research Clinical Haematology (formerly known as Bailliere's Clinical Haematology)
535,1001-8417,18311,Chinese Chemical Letters
535,0012-365X,1789,Discrete Mathematics
535,0260-2938,685,Assessment & Evaluation in Higher Education
534,0362-3319,6289,"Social Science Journal, The"
534,1931-5244,670,Translational Research (formerly known as Journal of Laboratory and Clinical Medicine)
533,1003-6326,20418,Transactions of Nonferrous Metals Society of China
533,0951-3558,3178,International Journal of Public Sector Management
533,1558-9234,18345,Classical World
532,1042-9573,3784,Journal of Financial Intermediation
532,0166-8595,5534,Photosynthesis Research
532,1527-6473,11453,Liver Transplantation
531,0749-2081,9295,Seminars in Oncology Nursing
531,0968-5227,2872,Information Management & Computer Security
531,1532-7914,19833,Nutrition and Cancer
530,1067-2516,9230,"Journal of Foot and Ankle Surgery, The"
530,0923-9820,819,Biodegradation
530,0832-610X,18260,Canadian Journal of Anesthesia / Journal Canadien d'Anesthesie
530,0963-9292,1903,Ecotoxicology
529,1470-1545,7187,Studies in Second Language Acquisition
529,0022-4715,4341,Journal of Statistical Physics
529,0305-5698,1936,Educational Studies
529,1126-3504,11653,Plant Biosystems (formerly Giornale Botanico Italiano)
529,1465-7295,18549,Economic Inquiry
528,0957-5820,20017,Process Safety and Environmental Protection
528,1752-296X,13063,"Current Opinion in Endocrinology, Diabetes & Obesity (formerly Current Opinion in Endocrinology & Diabetes)"
528,1439-0531,5958,Reproduction in Domestic Animals
528,1467-9701,6886,"World Economy, The"
526,1476-9271,6999,Computational Biology and Chemistry (Formerly known as Computers & Chemistry)
526,0022-0736,3715,Journal of Electrocardiology
526,0099-1767,3723,Journal of Emergency Nursing
526,0723-2632,6067,Rock Mechanics and Rock Engineering
525,1751-7214,13783,"Obstetrics, Gynaecology & Reproductive Medicine (formerly known as Current Obstetrics & Gynaecology)"
525,1551-7411,20103,Research in Social and Administrative Pharmacy
525,0264-0473,1966,"Electronic Library, The"
525,1558-5646,18640,Evolution
524,0171-9335,7346,European Journal of Cell Biology
